case_id,N,tile_size,rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,numeric_median_ms,numeric_min_ms,executed_flops,executed_gflops
N65536__b8192__r1024__fp16_fp32__rows1,65536,8192,1024,fp16_fp32,1,1207959552,5.222774,4.88526,325.419528,311.524817,8.796093022208e13,270300.0977313199
N65536__b8192__r1024__fp16_fp32__rows2,65536,8192,1024,fp16_fp32,2,2415919104,3.204695,3.079358,330.527891,317.744323,8.796093022208e13,266122.5651970169
N65536__b8192__r1024__fp16_fp32__rows3,65536,8192,1024,fp16_fp32,3,3623878656,3.203053,3.046318,332.175166,324.92656,8.796093022208e13,264802.8486936317
N65536__b8192__r1024__fp16_fp32__rows4,65536,8192,1024,fp16_fp32,4,4831838208,2.883084,2.871717,314.461361,314.055474,8.796093022208e13,279719.35865939345
N65536__b8192__r1024__fp16_fp32__rows5,65536,8192,1024,fp16_fp32,5,6039797760,2.307432,2.251068,350.549919,312.997671,8.796093022208e13,250922.69447102625
N65536__b8192__r1024__fp16_fp32__rows6,65536,8192,1024,fp16_fp32,6,7247757312,4.05691,3.754037,344.621058,340.145341,8.796093022208e13,255239.5687383677
N65536__b8192__r1024__fp16_fp32__rows7,65536,8192,1024,fp16_fp32,7,8455716864,3.861908,3.476702,337.286514,334.702097,8.796093022208e13,260789.94140299366
N65536__b8192__r1024__fp16_fp32__rows8,65536,8192,1024,fp16_fp32,8,9663676416,3.195752,2.160844,342.44332,334.366295,8.796093022208e13,256862.74219651884
N65536__b8192__r1024__fp32_tf32__rows1,65536,8192,1024,fp32_tf32,1,2415919104,4.715475,4.599202,543.104535,516.612275,8.796093022208e13,161959.4839547418
N65536__b8192__r1024__fp32_tf32__rows2,65536,8192,1024,fp32_tf32,2,4831838208,2.937435,2.90018,545.409434,523.380202,8.796093022208e13,161275.04355210694
N65536__b8192__r1024__fp32_tf32__rows3,65536,8192,1024,fp32_tf32,3,7247757312,4.445632,4.105453,557.386305,550.17872,8.796093022208e13,157809.63657167717
N65536__b8192__r1024__fp32_tf32__rows4,65536,8192,1024,fp32_tf32,4,9663676416,3.231134,3.0879,583.058307,571.607504,8.796093022208e13,150861.29322925504
N65536__b8192__r1024__fp32_tf32__rows5,65536,8192,1024,fp32_tf32,5,12079595520,3.66275,2.687922,617.090259,573.849518,8.796093022208e13,142541.43367069418
N65536__b8192__r1024__fp32_tf32__rows6,65536,8192,1024,fp32_tf32,6,14495514624,2.107273,2.026272,644.388003,625.143458,8.796093022208e13,136503.0537697332
N65536__b8192__r1024__fp32_tf32__rows7,65536,8192,1024,fp32_tf32,7,16911433728,2.510887,2.42588,648.443793,646.807403,8.796093022208e13,135649.2747276247
N65536__b8192__r1024__fp32_tf32__rows8,65536,8192,1024,fp32_tf32,8,19327352832,1.894404,1.881806,728.650004,708.306234,8.796093022208e13,120717.66930516616
N65536__b8192__r1024__fp32__rows1,65536,8192,1024,fp32,1,2415919104,4.504901,4.482577,1878.689574,1877.217852,8.796093022208e13,46820.36427912811
N65536__b8192__r1024__fp32__rows2,65536,8192,1024,fp32,2,4831838208,3.450192,3.394619,1820.886635,1814.521261,8.796093022208e13,48306.648273070554
N65536__b8192__r1024__fp32__rows3,65536,8192,1024,fp32,3,7247757312,2.417968,2.332079,1822.444287,1819.948513,8.796093022208e13,48265.3603457344
N65536__b8192__r1024__fp32__rows4,65536,8192,1024,fp32,4,9663676416,4.039665,3.801649,1821.22941,1811.13099,8.796093022208e13,48297.55644132718
N65536__b8192__r1024__fp32__rows5,65536,8192,1024,fp32,5,12079595520,3.796942,3.596973,1829.613826,1828.523054,8.796093022208e13,48076.227328465764
N65536__b8192__r1024__fp32__rows6,65536,8192,1024,fp32,6,14495514624,3.661098,3.486126,1827.756478,1825.65247,8.796093022208e13,48125.081913718706
N65536__b8192__r1024__fp32__rows7,65536,8192,1024,fp32,7,16911433728,3.763551,3.68946,1826.548491,1825.74572,8.796093022208e13,48156.90941439123
N65536__b8192__r1024__fp32__rows8,65536,8192,1024,fp32,8,19327352832,1.606384,1.576368,1829.99565,1829.261451,8.796093022208e13,48066.19634428093
